Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
dic-13;0;152;150,330.46;0;0;0;0;452,414.08;0;210,096.78;358,799.64;0;98,883.10;0;0;0;0;0;0;791,698.89;0;0;0;2,062,374.95
ene-14;0;2,238.00;117,010.52;0;0;0;0;371,888.73;1,465.00;487,880.79;457,365.46;0;109,091.19;0;0;149,806.14;0;0;0;1,595,698.56;0;0;0;3,292,444.39
feb-14;0;6,093.80;116,368.88;0;0;0;0;336,845.19;0;312,423.86;455,726.06;0;80,162.42;0;0;0;0;0;0;688,703.18;0;0;0;1,996,323.39
mar-14;0;639;407,270.41;0;0;0;0;358,755.83;3,392.28;472,437.63;582,572.93;0;46,120.40;0;0;330,016.67;0;0;0;1,147,182.50;0;0;0;3,348,387.65
abr-14;0;2,349.70;332,419.30;0;0;0;0;466,766.95;1,570.10;207,049.00;270,302.22;0;72,947.78;0;0;6,993.03;0;0;0;845,051.33;0;0;0;2,205,449.41
may-14;0;2,000.03;246,105.20;0;0;0;0;554,784.32;4,644.98;417,767.24;563,319.79;0;175,257.51;0;0;327,251.71;0;0;0;1,008,148.07;0;0;0;3,299,278.85
jun-14;0;5,469.60;286,478.99;0;0;0;0;359,135.62;0;247,114.99;404,603.55;0;67,873.76;0;0;0;0;0;0;694,920.68;0;0;0;2,065,597.19
jul-14;0;3,399.70;167,316.42;0;0;0;0;417,570.34;0;454,196.13;558,403.41;0;66,309.97;0;0;0;0;0;0;845,875.86;0;0;0;2,513,071.83
ago-14;0;1,736.40;477,014.48;0;0;0;0;416,068.30;356.6;305,285.53;398,563.48;0;170,401.29;0;0;151,264.47;0;0;0;760,353.37;0;0;0;2,681,043.91
sep-14;0;2,799.10;368,203.04;0;0;0;0;408,998.93;358.6;378,741.56;547,486.22;0;13,079.90;0;0;0;0;0;0;598,145.89;0;0;0;2,317,813.24
oct-14;0;3,367.86;230,129.08;0;0;0;0;314,868.89;4,466.90;256,340.49;379,572.07;0;20,828.70;0;0;161,718.04;0;0;0;762,763.24;0;0;0;2,134,055.27
nov-14;0;4,294.61;243,197.44;0;0;0;0;487,343.72;0;372,809.93;533,524.40;0;79,078.42;0;0;0;0;0;0;1,033,873.16;0;0;0;2,754,121.68
dic-14;0;48,364.50;91,348.40;0;0;0;0;380,185.96;27,979.07;491,072.11;583,081.57;0;124,619.87;0;0;152,365.73;0;0;0;1,004,032.65;0;0;0;2,903,049.86
ene-15;0;142.9;245,584.89;0;0;0;0;523,352.31;0;371,420.59;471,973.30;0;19,111.30;0;0;148,594.27;0;0;0;1,324,421.96;0;0;0;3,104,601.52
feb-15;0;3,349.05;162,224.95;0;0;0;0;421,268.22;0;548,714.53;664,315.85;0;170,853.82;0;0;0;0;0;0;955,286.02;0;0;0;2,926,012.44
mar-15;0;8,319.11;280,843.31;0;0;0;0;497,168.60;0;453,536.19;622,883.10;0;90,955.77;0;0;164,423.33;0;0;0;1,164,885.97;0;0;0;3,283,015.37
abr-15;0;15,358.33;304,405.66;0;0;0;0;519,603.84;0;537,064.59;599,558.55;0;108,382.50;0;0;0;0;0;0;1,130,870.79;0;0;0;3,215,244.26
may-15;0;33,380.56;375,606.55;0;0;0;0;415,890.34;0;534,049.28;618,319.21;0;58,745.67;0;0;163,409.40;0;0;0;954,782.75;0;0;0;3,154,183.76
jun-15;0;10,275.34;336,491.48;0;0;0;0;526,358.48;0;394,824.33;525,280.85;0;100,499.13;0;0;162,807.81;0;0;0;862,071.77;0;0;0;2,918,609.19
jul-15;0;2,723.80;235,587.32;0;0;0;0;411,971.43;0;519,374.15;616,269.01;0;123,496.73;0;0;0;0;0;0;1,149,630.43;0;0;0;3,059,052.87
ago-15;0;3,047.60;348,192.53;0;0;0;0;561,563.81;0;328,552.07;467,373.13;0;119,764.65;0;0;165,284.13;0;0;0;919,285.90;0;0;0;2,913,063.82
sep-15;0;74.88;513,707.26;0;0;0;0;480,268.89;0;485,906.49;576,250.29;0;147,445.06;0;0;0;0;0;0;754,068.77;0;0;0;2,957,721.64
oct-15;0;571.4;250,054.86;0;0;0;0;423,239.36;11,536.58;432,666.75;533,620.64;0;135,724.25;0;0;148,515.29;0;0;0;1,163,425.95;0;0;0;3,099,355.08
nov-15;0;11,175.83;263,741.40;0;0;0;0;637,316.48;0;574,547.76;724,273.97;0;184,093.93;0;0;0;0;0;0;904,700.42;0;0;0;3,299,849.79
dic-15;0;640.37;208,710.54;0;0;0;0;500,684.29;0;319,329.71;498,798.79;0;116,266.75;0;0;148,507.37;0;0;0;1,113,876.28;0;0;0;2,906,814.10
