Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
oct/2006;0.00;25,204.67;464,238.85;0.00;37,891.80;0.00;0.00;238,514.63;1,845.00;203,061.39;400,793.81;0.00;7,884.20;0.00;0.00;48,735.50;28,499.79;0.00;0.00;683,543.13;0.00;2,140,212.77
nov/2006;0.00;36,772.97;523,491.30;0.00;40,998.50;0.00;0.00;228,417.44;1,618.91;205,541.91;401,922.57;0.00;7,669.50;0.00;0.00;109,186.00;21,777.27;0.00;0.00;739,181.99;0.00;2,316,578.36
dic/2006;0.00;27,047.99;384,849.54;0.00;51,753.60;0.00;0.00;236,333.11;1,959.00;233,936.83;454,373.13;0.00;9,049.50;0.00;0.00;110,896.50;34,342.70;0.00;0.00;776,330.26;0.00;2,320,872.16
ene/2007;0.00;36,112.06;481,365.90;0.00;47,659.20;0.00;0.00;217,344.66;1,657.00;216,560.79;418,412.86;0.00;9,659.80;0.00;0.00;118,327.00;55,217.79;0.00;0.00;810,372.66;0.00;2,412,689.72
feb/2007;0.00;35,844.96;441,178.90;0.00;42,101.80;0.00;0.00;211,149.36;1,606.00;204,991.91;401,425.14;0.00;5,162.40;0.00;0.00;89,353.00;38,218.66;0.00;0.00;799,394.60;0.00;2,270,426.73
mar/2007;0.00;47,101.77;537,373.86;0.00;54,082.40;0.00;0.00;264,115.98;1,665.00;239,019.91;454,731.09;0.00;7,526.90;0.00;0.00;101,887.50;57,660.84;0.00;0.00;956,680.19;0.00;2,721,845.44
abr/2007;0.00;38,731.92;480,634.06;0.00;44,957.10;0.00;0.00;224,818.88;1,550.00;217,536.23;403,732.56;0.00;7,512.60;0.00;0.00;91,234.00;46,865.77;0.00;0.00;758,988.58;0.00;2,316,561.70
may/2007;0.00;44,730.69;624,648.80;0.00;46,178.50;0.00;0.00;259,749.48;1,458.00;224,400.73;426,414.71;0.00;11,518.60;0.00;0.00;78,331.00;47,491.42;0.00;0.00;811,703.69;0.00;2,576,625.62
jun/2007;0.00;25,509.90;666,096.20;0.00;46,459.40;0.00;0.00;244,505.28;908.00;217,473.91;390,991.36;0.00;14,318.30;0.00;0.00;83,270.00;36,586.80;0.00;0.00;720,896.77;0.00;2,447,015.92
jul/2007;0.00;41,652.90;680,178.90;0.00;55,620.50;0.00;0.00;261,555.62;1,381.00;219,874.23;416,497.41;0.00;11,812.20;0.00;0.00;99,957.00;66,993.71;0.00;0.00;721,550.61;0.00;2,577,074.08
ago/2007;0.00;32,132.95;529,257.62;0.00;50,337.00;0.00;0.00;267,634.12;1,571.00;236,565.57;411,088.53;0.00;16,179.40;0.00;0.00;117,265.50;36,100.50;0.00;0.00;736,620.90;0.00;2,434,753.09
sep/2007;0.00;21,666.59;374,139.35;0.00;46,392.80;0.00;0.00;254,081.76;1,243.00;207,241.84;390,568.99;0.00;9,016.50;0.00;0.00;101,530.00;48,278.98;0.00;0.00;669,587.88;0.00;2,123,747.69
oct/2007;0.00;23,741.47;384,625.95;0.00;50,839.90;0.00;0.00;264,936.66;1,284.00;224,750.77;419,001.81;0.00;13,724.20;0.00;0.00;105,314.00;22,628.56;0.00;0.00;738,702.86;0.00;2,249,550.18
nov/2007;0.00;36,281.17;515,855.99;0.00;48,631.60;0.00;0.00;250,108.61;1,477.00;218,116.79;417,490.77;0.00;13,720.90;0.00;0.00;73,557.00;52,597.23;0.00;0.00;779,547.05;0.00;2,407,384.11
dic/2007;0.00;36,570.14;431,419.38;0.00;52,596.00;0.00;0.00;253,659.53;1,009.00;252,394.11;438,542.79;0.00;23,241.60;0.00;0.00;100,226.50;47,879.57;0.00;0.00;768,886.87;0.00;2,406,425.50
ene/2008;0.00;33,627.86;433,142.36;0.00;50,760.20;0.00;0.00;252,508.33;1,989.20;213,645.39;403,266.74;0.00;23,736.50;0.00;0.00;95,308.84;43,860.96;0.00;0.00;797,668.91;0.00;2,349,515.29
feb/2008;0.00;27,023.37;430,602.16;0.00;49,177.79;0.00;0.00;241,978.08;1,282.48;215,873.67;407,735.55;0.00;12,268.80;0.00;0.00;59,523.70;43,795.41;0.00;0.00;794,000.25;0.00;2,283,261.26
mar/2008;0.00;24,535.08;433,126.79;0.00;54,474.23;0.00;0.00;247,679.04;1,282.24;233,761.07;424,157.28;0.00;11,053.60;0.00;0.00;90,591.99;33,091.99;0.00;0.00;776,026.79;0.00;2,329,780.09
abr/2008;0.00;28,686.75;521,002.28;0.00;50,481.01;0.00;0.00;243,178.03;1,389.70;233,687.28;399,193.53;0.00;9,701.10;0.00;0.00;107,236.47;33,710.99;0.00;0.00;807,725.77;0.00;2,435,992.91
may/2008;0.00;30,108.84;671,159.46;0.00;40,315.15;0.00;0.00;240,798.46;1,097.20;236,635.85;390,882.63;0.00;10,184.30;0.00;0.00;108,039.42;29,039.12;0.00;0.00;682,326.18;0.00;2,440,586.60
jun/2008;0.00;13,816.19;512,787.44;0.00;45,117.89;0.00;0.00;242,422.57;961.50;200,656.57;337,464.32;0.00;9,387.80;0.00;0.00;109,057.41;24,325.03;0.00;0.00;507,662.65;0.00;2,003,659.37
jul/2008;0.00;13,246.41;374,959.04;0.00;53,791.45;0.00;0.00;243,531.97;1,376.00;228,640.21;374,847.05;0.00;12,510.70;0.00;0.00;85,805.50;20,392.63;0.00;0.00;544,399.26;0.00;1,953,500.22
ago/2008;0.00;17,823.81;340,442.84;0.00;52,969.79;0.00;0.00;237,062.52;1,296.43;227,499.00;378,363.76;0.00;5,642.20;0.00;0.00;57,263.20;27,582.41;0.00;0.00;556,174.40;0.00;1,902,120.35
sep/2008;0.00;12,370.70;312,823.32;0.00;44,179.04;0.00;0.00;225,262.46;1,432.72;218,214.64;367,962.73;0.00;5,890.80;0.00;0.00;103,737.26;27,685.65;0.00;0.00;557,802.62;0.00;1,877,361.94
oct/2008;0.00;16,819.09;327,371.38;0.00;43,407.77;0.00;0.00;263,100.50;1,192.71;238,955.44;386,430.40;0.00;4,615.30;0.00;0.00;76,022.98;19,914.86;0.00;0.00;617,863.13;0.00;1,995,693.56
nov/2008;0.00;29,048.29;340,754.09;0.00;43,778.49;0.00;0.00;230,092.62;737.48;238,626.16;375,438.69;0.00;5,666.50;0.00;0.00;69,055.69;40,840.89;0.00;0.00;688,104.11;0.00;2,062,143.01
dic/2008;0.00;28,541.85;327,040.51;0.00;47,251.99;0.00;0.00;245,852.65;1,661.95;298,245.47;463,343.73;0.00;12,981.90;0.00;0.00;10,382.57;41,920.97;0.00;0.00;778,953.84;0.00;2,256,177.43
ene/2009;0.00;31,963.02;454,789.92;0.00;44,522.53;0.00;0.00;217,372.42;1,198.70;273,494.16;424,264.50;0.00;9,922.80;0.00;0.00;94,486.37;43,188.98;0.00;0.00;800,526.47;0.00;2,395,729.87
feb/2009;0.00;38,311.50;387,416.95;0.00;38,201.07;0.00;0.00;212,038.24;1,009.24;254,667.70;424,438.71;0.00;6,520.70;0.00;0.00;95,799.17;52,862.62;0.00;0.00;795,050.51;0.00;2,306,316.41
mar/2009;0.00;59,263.86;401,630.02;0.00;42,318.13;0.00;0.00;235,475.32;1,385.24;290,343.28;434,248.69;0.00;8,252.90;0.00;0.00;98,162.74;70,567.18;0.00;0.00;865,981.57;0.00;2,507,628.92
abr/2009;0.00;48,545.41;643,776.55;0.00;42,656.39;0.00;0.00;209,739.17;1,018.24;290,887.08;454,265.40;0.00;9,120.70;0.00;0.00;97,879.98;53,545.56;0.00;0.00;822,109.74;0.00;2,673,544.22
may/2009;0.00;48,882.92;682,916.87;0.00;35,798.11;0.00;0.00;221,884.47;1,357.90;276,970.67;432,401.49;0.00;7,861.70;0.00;0.00;101,914.67;60,585.75;0.00;0.00;770,687.28;0.00;2,641,261.83
jun/2009;0.00;27,918.98;586,246.02;0.00;44,548.27;0.00;0.00;221,329.63;822.80;252,551.99;393,140.38;0.00;4,161.60;0.00;0.00;91,670.87;37,437.64;0.00;0.00;703,815.55;0.00;2,363,643.72
jul/2009;0.00;37,350.91;450,992.66;0.00;46,313.51;0.00;0.00;241,510.20;1,649.10;283,142.05;435,256.09;0.00;11,172.60;0.00;0.00;110,163.57;55,471.15;0.00;0.00;740,868.09;0.00;2,413,889.93
ago/2009;0.00;32,129.06;535,359.83;0.00;39,851.20;0.00;0.00;232,174.11;1,458.48;267,830.84;409,182.96;0.00;10,701.30;0.00;0.00;74,197.31;37,735.48;0.00;0.00;692,376.70;0.00;2,332,997.27
sep/2009;0.00;31,422.61;545,203.30;0.00;34,686.54;0.00;0.00;225,886.43;1,285.30;248,994.42;420,238.71;0.00;7,926.60;0.00;0.00;72,632.73;29,161.17;0.00;0.00;687,435.10;0.00;2,304,872.90
oct/2009;0.00;25,594.66;643,683.55;0.00;37,554.44;0.00;0.00;235,899.13;1,003.00;269,008.52;421,753.29;0.00;10,994.00;0.00;0.00;94,084.43;54,414.00;0.00;0.00;775,739.56;0.00;2,569,728.58
nov/2009;0.00;44,273.35;525,804.80;0.00;37,672.79;0.00;0.00;232,172.83;1,412.90;212,149.91;391,754.81;0.00;15,251.90;0.00;0.00;77,337.32;42,512.45;0.00;0.00;738,678.65;0.00;2,319,021.70
dic/2009;0.00;31,718.72;457,616.74;0.00;44,690.11;0.00;0.00;215,923.38;1,461.00;296,805.29;449,842.29;0.00;10,317.60;0.00;0.00;80,620.82;50,398.46;0.00;0.00;891,670.41;0.00;2,531,064.81
ene/2010;0.00;31,511.41;391,820.19;0.00;41,227.21;0.00;0.00;228,078.62;850.00;243,341.49;389,068.41;0.00;10,204.30;0.00;0.00;83,732.94;32,292.30;0.00;0.00;777,741.34;0.00;2,229,868.21
feb/2010;0.00;30,767.71;451,749.94;0.00;35,844.67;0.00;0.00;214,409.69;1,397.00;248,207.93;391,195.69;0.00;9,408.70;0.00;0.00;91,255.01;30,991.63;0.00;0.00;807,692.10;0.00;2,312,920.07
mar/2010;0.00;27,017.08;384,792.99;0.00;44,598.50;0.00;0.00;242,081.59;1,329.00;320,985.41;465,664.59;0.00;33,330.70;0.00;0.00;79,706.61;55,580.16;0.00;0.00;1,017,058.18;0.00;2,672,144.80
